ID,GALGAL,OUT-0003
2577,GALGAL_R02793,ALCTOR_R05070
2578,GALGAL_R02794,ALCTOR_R05071
2579,GALGAL_R02795,ALCTOR_R12026
2580,GALGAL_R02796,ALCTOR_R07608
2581,GALGAL_R02797,ALCTOR_R07609
2582,GALGAL_R02798,ALCTOR_R02347
2583,GALGAL_R02799,-
2584,GALGAL_R02800,ALCTOR_R12525
2585,GALGAL_R02801,ALCTOR_R13632
2586,GALGAL_R02802,ALCTOR_R04315
2587,GALGAL_R02803,ALCTOR_R04316
2588,GALGAL_R02804,ALCTOR_R04317
2589,GALGAL_R02805,ALCTOR_R04318
2590,GALGAL_R02806,ALCTOR_R04319
2591,GALGAL_R02807,ALCTOR_R04320
2592,GALGAL_R02808,ALCTOR_R04321
2593,GALGAL_R02809,ALCTOR_R03292
2594,GALGAL_R02810,ALCTOR_R04322
2595,GALGAL_R02811,ALCTOR_R07731
2596,GALGAL_R02812,ALCTOR_R04201
2597,GALGAL_R02813,ALCTOR_R08160
2598,GALGAL_R02814,ALCTOR_R01285
2599,GALGAL_R02815,ALCTOR_R07949
2600,GALGAL_R02816,ALCTOR_R08118
2601,GALGAL_R02817,ALCTOR_R10381
2602,GALGAL_R02818,ALCTOR_R10382
2603,GALGAL_R02819,ALCTOR_R14694
2604,GALGAL_R02820,-
2605,GALGAL_R02821,ALCTOR_R07281
2606,GALGAL_R02822,ALCTOR_R07282
2607,GALGAL_R02823,ALCTOR_R02317
2608,GALGAL_R02824,-
2609,GALGAL_R02825,ALCTOR_R03293
2610,GALGAL_R02826,ALCTOR_R03294
2611,GALGAL_R02827,ALCTOR_R07028
2612,GALGAL_R02828,ALCTOR_R10383
2613,GALGAL_R02829,ALCTOR_R07283
2614,GALGAL_R02831,ALCTOR_R04323
2615,GALGAL_R02832,ALCTOR_R12027
2616,GALGAL_R02833,ALCTOR_R11400
2617,GALGAL_R02834,ALCTOR_R00171
2618,GALGAL_R02835,-
2619,GALGAL_R02836,ALCTOR_R04178
2620,GALGAL_R02837,ALCTOR_R10384
2621,GALGAL_R02838,-
2622,GALGAL_R02839,ALCTOR_R14469
2623,GALGAL_R02840,ALCTOR_R05072
2624,GALGAL_R02842,-
2625,GALGAL_R02843,-
2626,GALGAL_R02844,ALCTOR_R04324
2627,GALGAL_R02845,-
2628,GALGAL_R02846,ALCTOR_R07284
2629,GALGAL_R02847,ALCTOR_R06678
2630,GALGAL_R02848,-
2631,GALGAL_R02849,ALCTOR_R04172
2632,GALGAL_R02850,ALCTOR_R08585
2633,GALGAL_R02851,-
2634,GALGAL_R02852,-
2635,GALGAL_R02853,ALCTOR_R01113
2636,GALGAL_R02854,ALCTOR_R07729
2637,GALGAL_R02855,ALCTOR_R07730
2638,GALGAL_R02856,ALCTOR_R04861
2639,GALGAL_R02857,ALCTOR_R04862
2640,GALGAL_R02858,ALCTOR_R12915
2641,GALGAL_R02859,ALCTOR_R09343
2642,GALGAL_R02860,ALCTOR_R09344
2643,GALGAL_R02861,ALCTOR_R09345
2644,GALGAL_R02862,ALCTOR_R09938
2645,GALGAL_R02863,ALCTOR_R07285
2646,GALGAL_R02864,ALCTOR_R07286
2647,GALGAL_R02865,ALCTOR_R07287
2648,GALGAL_R02866,ALCTOR_R07288
2649,GALGAL_R02867,ALCTOR_R07289
2650,GALGAL_R02868,ALCTOR_R07290
2651,GALGAL_R02869,ALCTOR_R02249
2652,GALGAL_R02870,ALCTOR_R02250
2653,GALGAL_R02871,ALCTOR_R02251
2654,GALGAL_R02872,ALCTOR_R01316
2655,GALGAL_R02873,ALCTOR_R06765
2656,GALGAL_R02874,ALCTOR_R06901
2657,GALGAL_R02875,ALCTOR_R03024
2658,GALGAL_R02876,ALCTOR_R03022
2659,GALGAL_R02877,ALCTOR_R03023
2660,GALGAL_R02878,ALCTOR_R00172
2661,GALGAL_R02879,ALCTOR_R00173
2662,GALGAL_R02880,ALCTOR_R13912
2663,GALGAL_R02881,ALCTOR_R13913
2664,GALGAL_R02882,-
2665,GALGAL_R02883,ALCTOR_R04326
2666,GALGAL_R02884,ALCTOR_R04327
2667,GALGAL_R02885,ALCTOR_R04328
2668,GALGAL_R02886,ALCTOR_R13633
2669,GALGAL_R02887,ALCTOR_R13634
2670,GALGAL_R02888,ALCTOR_R02348
2671,GALGAL_R02889,ALCTOR_R02349
2672,GALGAL_R02890,ALCTOR_R07610
2673,GALGAL_R02891,ALCTOR_R07611
2674,GALGAL_R02892,-
2675,GALGAL_R02893,ALCTOR_R11130
2676,GALGAL_R02894,-
2677,GALGAL_R02895,ALCTOR_R06766
2678,GALGAL_R02896,ALCTOR_R00176
2679,GALGAL_R02897,-
2680,GALGAL_R02898,-
2681,GALGAL_R02899,ALCTOR_R07291
2682,GALGAL_R02900,ALCTOR_R05653
2683,GALGAL_R02901,-
2684,GALGAL_R02902,ALCTOR_R00177
2685,GALGAL_R02903,ALCTOR_R03295
2686,GALGAL_R02904,ALCTOR_R10386
2687,GALGAL_R02905,ALCTOR_R10387
2688,GALGAL_R02906,ALCTOR_R03296
2689,GALGAL_R02907,ALCTOR_R12839
2690,GALGAL_R02908,ALCTOR_R07950
2691,GALGAL_R02909,ALCTOR_R07732
2692,GALGAL_R02915,-
2693,GALGAL_R02916,ALCTOR_R01027
2694,GALGAL_R02917,ALCTOR_R10020
2695,GALGAL_R02918,ALCTOR_R07302
2696,GALGAL_R02919,ALCTOR_R07303
2697,GALGAL_R02920,ALCTOR_R01276
2698,GALGAL_R02921,ALCTOR_R07673
2699,GALGAL_R02922,ALCTOR_R08066
2700,GALGAL_R02923,ALCTOR_R11082
2701,GALGAL_R02924,ALCTOR_R12499
2702,GALGAL_R02925,ALCTOR_R09791
2703,GALGAL_R02926,ALCTOR_R01928
2704,GALGAL_R02927,ALCTOR_R01929
2705,GALGAL_R02928,ALCTOR_R13527
2706,GALGAL_R02929,ALCTOR_R06026
2707,GALGAL_R02930,-
2708,GALGAL_R02931,ALCTOR_R07036
2709,GALGAL_R02932,-
2710,GALGAL_R02933,ALCTOR_R00522
2711,GALGAL_R02934,-
2712,GALGAL_R02935,ALCTOR_R08320
2713,GALGAL_R02936,-
2714,GALGAL_R02937,ALCTOR_R00523
2715,GALGAL_R02938,-
2716,GALGAL_R02939,ALCTOR_R06065
2717,GALGAL_R02942,-
2718,GALGAL_R02943,-
2719,GALGAL_R02945,ALCTOR_R06761
2720,GALGAL_R02946,ALCTOR_R13528
2721,GALGAL_R02947,ALCTOR_R08482
2722,GALGAL_R02948,-
2723,GALGAL_R02949,ALCTOR_R07674
2724,GALGAL_R02950,ALCTOR_R02753
2725,GALGAL_R02951,ALCTOR_R00519
2726,GALGAL_R02952,-
2727,GALGAL_R02953,ALCTOR_R01984
2728,GALGAL_R02954,ALCTOR_R02727
2729,GALGAL_R02955,ALCTOR_R10016
2730,GALGAL_R02956,ALCTOR_R00168
2731,GALGAL_R02957,ALCTOR_R00169
2732,GALGAL_R02958,ALCTOR_R00170
2733,GALGAL_R02959,ALCTOR_R07304
2734,GALGAL_R02960,ALCTOR_R07305
2735,GALGAL_R02961,-
2736,GALGAL_R02962,ALCTOR_R06027
2737,GALGAL_R02963,ALCTOR_R06028
2738,GALGAL_R02964,-
2739,GALGAL_R02965,-
2740,GALGAL_R02966,ALCTOR_R06066
2741,GALGAL_R02967,ALCTOR_R06067
2742,GALGAL_R02968,ALCTOR_R06068
2743,GALGAL_R02969,ALCTOR_R05425
2744,GALGAL_R02970,ALCTOR_R07675
2745,GALGAL_R02971,ALCTOR_R12498
2746,GALGAL_R03017,ALCTOR_R07419
2747,GALGAL_R03019,ALCTOR_R08096
2748,GALGAL_R03020,ALCTOR_R13896
2749,GALGAL_R03021,ALCTOR_R13897
2750,GALGAL_R03024,ALCTOR_R05547
2751,GALGAL_R03025,-
2752,GALGAL_R03026,ALCTOR_R12797
2753,GALGAL_R03027,ALCTOR_R12670
2754,GALGAL_R03038,-
2755,GALGAL_R03040,-
2756,GALGAL_R03041,ALCTOR_R08417
2757,GALGAL_R03042,ALCTOR_R01358
2758,GALGAL_R03043,-
2759,GALGAL_R03049,-
2760,GALGAL_R03054,-
2761,GALGAL_R03056,-
2762,GALGAL_R03064,ALCTOR_R11023
2763,GALGAL_R03067,ALCTOR_R02460
2764,GALGAL_R03068,-
2765,GALGAL_R03070,-
2766,GALGAL_R03072,-
2767,GALGAL_R03073,ALCTOR_R02034
2768,GALGAL_R03074,-
2769,GALGAL_R03075,ALCTOR_R06844
2770,GALGAL_R03076,ALCTOR_R07867
2771,GALGAL_R03077,ALCTOR_R02422
2772,GALGAL_R03078,-
2773,GALGAL_R03081,ALCTOR_R08300
2774,GALGAL_R03082,-
2775,GALGAL_R03083,ALCTOR_R03758
2776,GALGAL_R03085,-
2777,GALGAL_R03086,-
2778,GALGAL_R03087,ALCTOR_R03434
2779,GALGAL_R03090,-
2780,GALGAL_R03091,-
2781,GALGAL_R03093,-
2782,GALGAL_R03094,-
2783,GALGAL_R03095,-
2784,GALGAL_R03096,-
2785,GALGAL_R03097,ALCTOR_R11915
2786,GALGAL_R03099,-
2787,GALGAL_R03100,-
2788,GALGAL_R03102,-
2789,GALGAL_R03103,-
2790,GALGAL_R03106,-
2791,GALGAL_R03107,-
2792,GALGAL_R03108,-
2793,GALGAL_R03109,ALCTOR_R02611
2794,GALGAL_R03110,-
2795,GALGAL_R03112,-
2796,GALGAL_R03114,-
2797,GALGAL_R03117,-
2798,GALGAL_R03118,-
2799,GALGAL_R03119,ALCTOR_R06885
2800,GALGAL_R03124,-
2801,GALGAL_R03127,-
2802,GALGAL_R03128,ALCTOR_R09755
2803,GALGAL_R03130,-
2804,GALGAL_R03131,-
2805,GALGAL_R03136,ALCTOR_R01279
2806,GALGAL_R03137,-
2807,GALGAL_R03138,-
2808,GALGAL_R03139,ALCTOR_R02692
2809,GALGAL_R03140,ALCTOR_R13538
2810,GALGAL_R03141,ALCTOR_R13539
2811,GALGAL_R03142,-
2812,GALGAL_R03143,ALCTOR_R13374
2813,GALGAL_R03144,ALCTOR_R11202
2814,GALGAL_R03145,ALCTOR_R05639
2815,GALGAL_R03146,ALCTOR_R09800
2816,GALGAL_R03147,-
2817,GALGAL_R03148,-
2818,GALGAL_R03149,ALCTOR_R03806
2819,GALGAL_R03150,ALCTOR_R03807
2820,GALGAL_R03151,ALCTOR_R09565
2821,GALGAL_R03152,ALCTOR_R09930
2822,GALGAL_R03153,ALCTOR_R09712
2823,GALGAL_R03154,ALCTOR_R12080
2824,GALGAL_R03155,-
2825,GALGAL_R03156,ALCTOR_R14206
2826,GALGAL_R03157,ALCTOR_R14280
2827,GALGAL_R03158,ALCTOR_R01235
2828,GALGAL_R03159,ALCTOR_R14273
2829,GALGAL_R03160,ALCTOR_R00942
2830,GALGAL_R03161,ALCTOR_R14709
2831,GALGAL_R03162,ALCTOR_R11545
2832,GALGAL_R03163,-
2833,GALGAL_R03164,ALCTOR_R15148
2834,GALGAL_R03165,ALCTOR_R13663
2835,GALGAL_R03166,ALCTOR_R12418
2836,GALGAL_R03167,-
2837,GALGAL_R03168,ALCTOR_R13908
2838,GALGAL_R03169,ALCTOR_R00542
2839,GALGAL_R03170,ALCTOR_R01056
2840,GALGAL_R03171,ALCTOR_R02617
2841,GALGAL_R03172,-
2842,GALGAL_R03173,ALCTOR_R08405
2843,GALGAL_R03174,ALCTOR_R10678
2844,GALGAL_R03175,ALCTOR_R10679
2845,GALGAL_R03176,ALCTOR_R10680
2846,GALGAL_R03177,ALCTOR_R10681
2847,GALGAL_R03178,ALCTOR_R04439
2848,GALGAL_R03179,ALCTOR_R11329
2849,GALGAL_R03180,-
2850,GALGAL_R03181,ALCTOR_R14421
2851,GALGAL_R03182,ALCTOR_R02008
2852,GALGAL_R03183,ALCTOR_R02009
2853,GALGAL_R03184,-
2854,GALGAL_R03185,ALCTOR_R05415
2855,GALGAL_R03186,ALCTOR_R08054
2856,GALGAL_R03187,ALCTOR_R06463
2857,GALGAL_R03188,ALCTOR_R12266
2858,GALGAL_R03189,ALCTOR_R12767
2859,GALGAL_R03190,ALCTOR_R08464
2860,GALGAL_R03191,-
2861,GALGAL_R03192,ALCTOR_R03741
2862,GALGAL_R03193,ALCTOR_R03742
2863,GALGAL_R03194,ALCTOR_R03378
2864,GALGAL_R03195,ALCTOR_R05433
2865,GALGAL_R03196,-
2866,GALGAL_R03197,ALCTOR_R05192
2867,GALGAL_R03198,ALCTOR_R07153
2868,GALGAL_R03199,ALCTOR_R02173
2869,GALGAL_R03200,ALCTOR_R03379
2870,GALGAL_R03201,ALCTOR_R14023
2871,GALGAL_R03202,ALCTOR_R02666
2872,GALGAL_R03203,ALCTOR_R02323
2873,GALGAL_R03204,ALCTOR_R02324
2874,GALGAL_R03205,ALCTOR_R08559
2875,GALGAL_R03206,ALCTOR_R02719
2876,GALGAL_R03207,ALCTOR_R00484
2877,GALGAL_R03208,ALCTOR_R13226
2878,GALGAL_R03209,ALCTOR_R13227
2879,GALGAL_R03210,ALCTOR_R13228
2880,GALGAL_R03211,ALCTOR_R13482
2881,GALGAL_R03212,ALCTOR_R03413
2882,GALGAL_R03213,ALCTOR_R08929
2883,GALGAL_R03214,ALCTOR_R12765
2884,GALGAL_R03215,ALCTOR_R00698
2885,GALGAL_R03216,ALCTOR_R00699
2886,GALGAL_R03217,ALCTOR_R00700
2887,GALGAL_R03218,ALCTOR_R10757
2888,GALGAL_R03219,ALCTOR_R15085
2889,GALGAL_R03220,ALCTOR_R08026
2890,GALGAL_R03221,ALCTOR_R09933
2891,GALGAL_R03222,-
2892,GALGAL_R03223,ALCTOR_R09303
2893,GALGAL_R03224,ALCTOR_R06768
2894,GALGAL_R03225,-
2895,GALGAL_R03226,ALCTOR_R00936
2896,GALGAL_R03227,ALCTOR_R09446
2897,GALGAL_R03228,ALCTOR_R00917
2898,GALGAL_R03229,ALCTOR_R05476
2899,GALGAL_R03230,ALCTOR_R06726
2900,GALGAL_R03231,ALCTOR_R01921
2901,GALGAL_R03232,ALCTOR_R01922
2902,GALGAL_R03233,ALCTOR_R10837
2903,GALGAL_R03234,-
2904,GALGAL_R03235,ALCTOR_R07240
2905,GALGAL_R03236,ALCTOR_R12349
2906,GALGAL_R03237,-
2907,GALGAL_R03238,ALCTOR_R10912
2908,GALGAL_R03239,ALCTOR_R10913
2909,GALGAL_R03240,-
2910,GALGAL_R03241,ALCTOR_R01414
2911,GALGAL_R03242,-
2912,GALGAL_R03243,ALCTOR_R03187
2913,GALGAL_R03244,ALCTOR_R03188
2914,GALGAL_R03245,ALCTOR_R12151
2915,GALGAL_R03246,ALCTOR_R13719
2916,GALGAL_R03247,ALCTOR_R13720
2917,GALGAL_R03248,ALCTOR_R13721
2918,GALGAL_R03249,ALCTOR_R00778
2919,GALGAL_R03250,ALCTOR_R03466
2920,GALGAL_R03251,ALCTOR_R09421
2921,GALGAL_R03252,ALCTOR_R09422
2922,GALGAL_R03254,ALCTOR_R08714
2923,GALGAL_R03255,ALCTOR_R08715
2924,GALGAL_R03256,-
2925,GALGAL_R03257,-
2926,GALGAL_R03258,ALCTOR_R08716
2927,GALGAL_R03259,ALCTOR_R11141
2928,GALGAL_R03260,ALCTOR_R07078
2929,GALGAL_R03261,ALCTOR_R12671
2930,GALGAL_R03275,ALCTOR_R13872
2931,GALGAL_R03276,ALCTOR_R10694
2932,GALGAL_R03277,ALCTOR_R10695
2933,GALGAL_R03278,-
2934,GALGAL_R03296,ALCTOR_R06904
2935,GALGAL_R03297,-
2936,GALGAL_R03298,-
2937,GALGAL_R03299,ALCTOR_R13229
2938,GALGAL_R03300,ALCTOR_R12082
2939,GALGAL_R03301,ALCTOR_R08717
2940,GALGAL_R03302,-
2941,GALGAL_R03303,ALCTOR_R09894
2942,GALGAL_R03304,ALCTOR_R01344
2943,GALGAL_R03305,ALCTOR_R05193
2944,GALGAL_R03306,ALCTOR_R08055
2945,GALGAL_R03307,ALCTOR_R03808
2946,GALGAL_R03312,ALCTOR_R07754
2947,GALGAL_R03313,-
2948,GALGAL_R03324,ALCTOR_R06464
2949,GALGAL_R03327,ALCTOR_R11355
2950,GALGAL_R03328,ALCTOR_R02579
2951,GALGAL_R03329,ALCTOR_R00348
2952,GALGAL_R03330,ALCTOR_R02366
2953,GALGAL_R03331,ALCTOR_R07061
2954,GALGAL_R03332,ALCTOR_R09304
2955,GALGAL_R03333,-
2956,GALGAL_R03334,ALCTOR_R05486
2957,GALGAL_R03335,ALCTOR_R11365
2958,GALGAL_R03336,ALCTOR_R11262
2959,GALGAL_R03337,ALCTOR_R06457
2960,GALGAL_R03338,-
2961,GALGAL_R03339,ALCTOR_R05570
2962,GALGAL_R03341,ALCTOR_R14047
2963,GALGAL_R03342,ALCTOR_R08056
2964,GALGAL_R03345,-
2965,GALGAL_R03348,ALCTOR_R00695
2966,GALGAL_R03349,ALCTOR_R05978
2967,GALGAL_R03350,ALCTOR_R13693
2968,GALGAL_R03351,-
2969,GALGAL_R03361,-
2970,GALGAL_R03362,ALCTOR_R08439
2971,GALGAL_R03363,ALCTOR_R13689
2972,GALGAL_R03369,-
2973,GALGAL_R03374,ALCTOR_R02850
2974,GALGAL_R03375,ALCTOR_R13230
2975,GALGAL_R03376,ALCTOR_R05000
2976,GALGAL_R03385,ALCTOR_R02635
2977,GALGAL_R03386,ALCTOR_R07027
2978,GALGAL_R03387,ALCTOR_R13231
2979,GALGAL_R03388,-
2980,GALGAL_R03389,-
2981,GALGAL_R03390,ALCTOR_R00694
2982,GALGAL_R03391,-
2983,GALGAL_R03392,-
2984,GALGAL_R03393,ALCTOR_R14579
2985,GALGAL_R03402,ALCTOR_R05584
2986,GALGAL_R03403,ALCTOR_R05979
2987,GALGAL_R03404,ALCTOR_R09566
2988,GALGAL_R03405,ALCTOR_R02509
2989,GALGAL_R03406,ALCTOR_R02397
2990,GALGAL_R03416,ALCTOR_R12810
2991,GALGAL_R03418,ALCTOR_R04441
2992,GALGAL_R03425,-
2993,GALGAL_R03426,ALCTOR_R04076
2994,GALGAL_R03427,ALCTOR_R13664
2995,GALGAL_R03428,ALCTOR_R14715
2996,GALGAL_R03429,-
2997,GALGAL_R03430,ALCTOR_R07142
2998,GALGAL_R03431,ALCTOR_R12976
2999,GALGAL_R03432,ALCTOR_R04042
3000,GALGAL_R03433,ALCTOR_R03189
3001,GALGAL_R03434,ALCTOR_R03190
3002,GALGAL_R03435,ALCTOR_R12152
3003,GALGAL_R03436,ALCTOR_R01314
3004,GALGAL_R03437,ALCTOR_R02797
3005,GALGAL_R03438,ALCTOR_R14207
3006,GALGAL_R03439,ALCTOR_R02226
3007,GALGAL_R03440,ALCTOR_R01394
3008,GALGAL_R03441,ALCTOR_R12350
3009,GALGAL_R03442,ALCTOR_R08279
3010,GALGAL_R03443,ALCTOR_R09510
3011,GALGAL_R03444,ALCTOR_R03888
3012,GALGAL_R03445,ALCTOR_R08434
3013,GALGAL_R03446,ALCTOR_R05980
3014,GALGAL_R03447,ALCTOR_R05981
3015,GALGAL_R03448,ALCTOR_R05982
3016,GALGAL_R03449,ALCTOR_R05983
3017,GALGAL_R03450,ALCTOR_R05985
3018,GALGAL_R03451,ALCTOR_R05986
3019,GALGAL_R03452,ALCTOR_R03599
3020,GALGAL_R03453,ALCTOR_R03600
3021,GALGAL_R03454,ALCTOR_R05194
3022,GALGAL_R03455,ALCTOR_R14923
3023,GALGAL_R03456,ALCTOR_R02325
3024,GALGAL_R03457,ALCTOR_R04822
3025,GALGAL_R03458,ALCTOR_R04823
3026,GALGAL_R03459,ALCTOR_R10435
3027,GALGAL_R03460,ALCTOR_R10436
3028,GALGAL_R03461,ALCTOR_R10437
3029,GALGAL_R03462,ALCTOR_R08083
3030,GALGAL_R03463,ALCTOR_R12920
3031,GALGAL_R03464,ALCTOR_R12805
3032,GALGAL_R03465,ALCTOR_R02777
3033,GALGAL_R03466,ALCTOR_R02355
3034,GALGAL_R03467,ALCTOR_R02356
3035,GALGAL_R03468,ALCTOR_R00693
3036,GALGAL_R03469,ALCTOR_R02661
3037,GALGAL_R03470,ALCTOR_R01431
3038,GALGAL_R03471,ALCTOR_R13602
3039,GALGAL_R03472,ALCTOR_R08149
3040,GALGAL_R03476,-
3041,GALGAL_R03477,ALCTOR_R14068
3042,GALGAL_R03478,ALCTOR_R13873
3043,GALGAL_R03479,ALCTOR_R13874
3044,GALGAL_R03480,ALCTOR_R10696
3045,GALGAL_R03481,-
3046,GALGAL_R03482,ALCTOR_R12267
3047,GALGAL_R03483,ALCTOR_R06465
3048,GALGAL_R03484,ALCTOR_R09567
3049,GALGAL_R03485,ALCTOR_R07755
3050,GALGAL_R03486,ALCTOR_R07756
3051,GALGAL_R03487,ALCTOR_R06887
3052,GALGAL_R03488,ALCTOR_R12384
3053,GALGAL_R03489,ALCTOR_R14093
3054,GALGAL_R03490,ALCTOR_R12083
3055,GALGAL_R03491,ALCTOR_R02529
3056,GALGAL_R03492,-
3057,GALGAL_R03493,-
3058,GALGAL_R03494,ALCTOR_R02539
3059,GALGAL_R03495,ALCTOR_R02540
3060,GALGAL_R03496,ALCTOR_R00951
3061,GALGAL_R03497,ALCTOR_R00952
3062,GALGAL_R03498,ALCTOR_R01336
3063,GALGAL_R03499,ALCTOR_R12362
3064,GALGAL_R03500,ALCTOR_R12363
3065,GALGAL_R03501,ALCTOR_R02174
3066,GALGAL_R03502,-
3067,GALGAL_R03503,ALCTOR_R02011
3068,GALGAL_R03504,ALCTOR_R05416
3069,GALGAL_R03505,ALCTOR_R09794
3070,GALGAL_R03506,ALCTOR_R01438
3071,GALGAL_R03507,-
3072,GALGAL_R03508,ALCTOR_R01264
3073,GALGAL_R03509,ALCTOR_R13665
3074,GALGAL_R03510,ALCTOR_R13666
3075,GALGAL_R03511,ALCTOR_R00544
3076,GALGAL_R03512,ALCTOR_R06458
3077,GALGAL_R03513,ALCTOR_R06459
3078,GALGAL_R03514,ALCTOR_R06460
3079,GALGAL_R03515,ALCTOR_R05319
3080,GALGAL_R03516,ALCTOR_R05320
3081,GALGAL_R03517,-
3082,GALGAL_R03518,ALCTOR_R05596
3083,GALGAL_R03519,ALCTOR_R05430
3084,GALGAL_R03520,-
3085,GALGAL_R03521,ALCTOR_R00899
3086,GALGAL_R03522,ALCTOR_R01439
3087,GALGAL_R03523,ALCTOR_R10758
3088,GALGAL_R03524,-
3089,GALGAL_R03525,ALCTOR_R14396
3090,GALGAL_R03526,ALCTOR_R14422
3091,GALGAL_R03527,ALCTOR_R06955
3092,GALGAL_R03528,ALCTOR_R13232
3093,GALGAL_R03529,ALCTOR_R13233
3094,GALGAL_R03530,ALCTOR_R13234
3095,GALGAL_R03531,ALCTOR_R02320
3096,GALGAL_R03532,ALCTOR_R13483
3097,GALGAL_R03533,ALCTOR_R09221
3098,GALGAL_R03534,ALCTOR_R09222
3099,GALGAL_R03535,ALCTOR_R09223
3100,GALGAL_R03536,ALCTOR_R04066
3101,GALGAL_R03537,-
3102,GALGAL_R03538,ALCTOR_R08930
3103,GALGAL_R03539,ALCTOR_R08931
3104,GALGAL_R03540,ALCTOR_R03380
3105,GALGAL_R03541,ALCTOR_R13869
3106,GALGAL_R03542,ALCTOR_R13870
3107,GALGAL_R03543,ALCTOR_R10983
3108,GALGAL_R03544,ALCTOR_R07241
3109,GALGAL_R03545,ALCTOR_R10544
3110,GALGAL_R03546,ALCTOR_R12012
3111,GALGAL_R03547,ALCTOR_R12013
3112,GALGAL_R03548,ALCTOR_R12014
3113,GALGAL_R03549,ALCTOR_R04164
3114,GALGAL_R03550,ALCTOR_R04442
3115,GALGAL_R03551,ALCTOR_R04443
3116,GALGAL_R03552,ALCTOR_R09509
3117,GALGAL_R03553,ALCTOR_R06727
3118,GALGAL_R03554,ALCTOR_R01923
3119,GALGAL_R03555,ALCTOR_R10040
3120,GALGAL_R03556,ALCTOR_R00349
3121,GALGAL_R03557,ALCTOR_R00350
3122,GALGAL_R03558,ALCTOR_R00351
3123,GALGAL_R03559,ALCTOR_R00352
3124,GALGAL_R03560,ALCTOR_R00353
3125,GALGAL_R03561,ALCTOR_R02367
3126,GALGAL_R03562,ALCTOR_R09447
3127,GALGAL_R03563,ALCTOR_R04205
3128,GALGAL_R03564,ALCTOR_R10003
3129,GALGAL_R03565,ALCTOR_R08123
3130,GALGAL_R03566,ALCTOR_R08124
3131,GALGAL_R03567,ALCTOR_R08063
3132,GALGAL_R03568,ALCTOR_R08064
3133,GALGAL_R03569,ALCTOR_R10477
3134,GALGAL_R03570,ALCTOR_R10478
3135,GALGAL_R03571,ALCTOR_R10479
3136,GALGAL_R03572,ALCTOR_R00937
3137,GALGAL_R03573,ALCTOR_R00938
3138,GALGAL_R03574,ALCTOR_R00727
3139,GALGAL_R03575,ALCTOR_R00728
3140,GALGAL_R03576,ALCTOR_R14231
3141,GALGAL_R03577,-
3142,GALGAL_R03578,ALCTOR_R06769
3143,GALGAL_R03580,ALCTOR_R07798
3144,GALGAL_R03581,ALCTOR_R04194
3145,GALGAL_R03582,ALCTOR_R02398
3146,GALGAL_R03583,ALCTOR_R08718
3147,GALGAL_R03584,ALCTOR_R02721
3148,GALGAL_R03585,ALCTOR_R11418
3149,GALGAL_R03586,ALCTOR_R02639
3150,GALGAL_R03587,-
3151,GALGAL_R03589,-
3152,GALGAL_R03590,-
3153,GALGAL_R03591,ALCTOR_R14048
3154,GALGAL_R03592,-
3155,GALGAL_R03593,ALCTOR_R06903
3156,GALGAL_R03594,ALCTOR_R13909
3157,GALGAL_R03595,ALCTOR_R00943
3158,GALGAL_R03596,ALCTOR_R00944
3159,GALGAL_R03597,ALCTOR_R08150
3160,GALGAL_R03598,ALCTOR_R09511
3161,GALGAL_R03599,ALCTOR_R08151
3162,GALGAL_R03600,-
3163,GALGAL_R03601,ALCTOR_R04469
3164,GALGAL_R03602,ALCTOR_R06846
3165,GALGAL_R03605,-
3166,GALGAL_R03606,ALCTOR_R02795
3167,GALGAL_R03607,ALCTOR_R05234
3168,GALGAL_R03608,ALCTOR_R08216
3169,GALGAL_R03609,ALCTOR_R00958
3170,GALGAL_R03610,ALCTOR_R12192
3171,GALGAL_R03611,-
3172,GALGAL_R03612,ALCTOR_R04617
3173,GALGAL_R03613,ALCTOR_R12092
3174,GALGAL_R03614,ALCTOR_R03987
3175,GALGAL_R03615,-
3176,GALGAL_R03616,-
3177,GALGAL_R03617,-
3178,GALGAL_R03618,-
3179,GALGAL_R03619,-
3180,GALGAL_R03620,-
3181,GALGAL_R03621,ALCTOR_R08621
3182,GALGAL_R03622,ALCTOR_R08622
3183,GALGAL_R03623,ALCTOR_R13783
3184,GALGAL_R03624,-
3185,GALGAL_R03625,ALCTOR_R04799
3186,GALGAL_R03626,ALCTOR_R03493
3187,GALGAL_R03627,ALCTOR_R03494
3188,GALGAL_R03628,ALCTOR_R11227
3189,GALGAL_R03629,ALCTOR_R12516
3190,GALGAL_R03630,ALCTOR_R10975
3191,GALGAL_R03631,ALCTOR_R11231
3192,GALGAL_R03632,ALCTOR_R05342
3193,GALGAL_R03633,ALCTOR_R13687
3194,GALGAL_R03634,ALCTOR_R10050
3195,GALGAL_R03635,-
3196,GALGAL_R03636,ALCTOR_R03174
3197,GALGAL_R03637,ALCTOR_R07665
3198,GALGAL_R03638,ALCTOR_R00883
3199,GALGAL_R03639,ALCTOR_R14401
3200,GALGAL_R03640,ALCTOR_R09038
3201,GALGAL_R03641,ALCTOR_R09199
3202,GALGAL_R03642,-
3203,GALGAL_R03643,ALCTOR_R13948
3204,GALGAL_R03644,-
3205,GALGAL_R03645,ALCTOR_R07926
3206,GALGAL_R03646,ALCTOR_R06914
3207,GALGAL_R03647,-
3208,GALGAL_R03648,ALCTOR_R07542
